link,title,state
https://8columnas.com.mx/local/fallece-mujer-atropellada-cerca-de-las-torres-bicentenario/,Fallece mujer atropellada cerca de las Torres Bicentenario,edo
https://8columnas.com.mx/estado-de-mexico/arrollan-a-mujer-sobre-bulevar-miguel-aleman-frente-al-c5/,Arrollan a mujer sobre bulevar Miguel Alemán frente al C5,edo
https://8columnas.com.mx/estado-de-mexico/rinde-protesta-como-presidente-de-almoloya-de-juarez-adolfo-solis/,"Rinde protesta como presidente de Almoloya de Juárez, Adolfo Solís",edo
https://8columnas.com.mx/estado-de-mexico/se-mantiene-en-edomex-tendencia-a-la-baja-en-homicidio-doloso/,Se mantiene en Edoméx tendencia a la baja en homicidio doloso,edo
https://8columnas.com.mx/internacional/petro-vendera-residencia-embajador-mexico-mejorar-servicios-consulares/,Petro venderá la residencia del embajador en México para mejorar servicios consulares,edo
https://8columnas.com.mx/internacional/tiktok-enfrenta-investigacion-de-la-ue-por-presunta-interferencia-en-elecciones-presidenciales-de-rumania/,TikTok enfrenta investigación de la UE por presunta interferencia en elecciones presidenciales de Rumanía,edo
https://8columnas.com.mx/estado-de-mexico/seis-mujeres-logran-libertad-anticipada-tras-gestion-del-gem/,Seis mujeres logran libertad anticipada tras gestión del GEM,edo
https://8columnas.com.mx/estado-de-mexico/sandra-veronica-acevedo-vera-nueva-comisionada-estatal-de-lex-oma-mujeres/,"Sandra Verónica Acevedo Vera, nueva Comisionada Estatal de Lex OMA Mujeres",edo
https://8columnas.com.mx/local/disparan-contra-una-mujer-en-kfc-de-toluca/,Disparan contra una mujer en KFC de Toluca,edo
https://8columnas.com.mx/estado-de-mexico/bloquean-paseo-tollocan-tras-desaparicion-de-mujer-en-san-mateo-atenco/,Bloquean Paseo Tollocan tras desaparición de mujer en San Mateo Atenco,edo
https://8columnas.com.mx/seguridad/mujer-asaltaba-a-peatones-en-zinacantepec-ya-esta-detenida/,Mujer asaltaba a peatones en Zinacantepec; ya está detenida,edo
https://8columnas.com.mx/estado-de-mexico/atrapan-a-mujer-que-golpea-a-su-hijo-en-ecatepec/,Atrapan a mujer que golpea a su hijo en Ecatepec,edo
https://8columnas.com.mx/sin-categoria-s/refuerzan-estrategia-contra-violencia-hacia-mujeres-y-ninas/,Refuerzan estrategia contra violencia hacia mujeres y niñas,edo
https://8columnas.com.mx/cdmx/ataque-contra-mujer-difundio-en-redes-sociales-fue-en-la-ciudad-de-mexico/,Ataque contra mujer difundió en redes sociales fue en la Ciudad de México,edo
https://8columnas.com.mx/estado-de-mexico/2024-cerrara-con-650-mil-tarjetas-de-mujeres-con-bienestar/,2024 cerrará con 650 mil tarjetas de “Mujeres con Bienestar”,edo
https://8columnas.com.mx/seguridad/atrapan-a-sujeto-que-golpeo-a-tres-mujeres-en-toluca/,Atrapan a sujeto que golpeó a tres mujeres en Toluca,edo
https://8columnas.com.mx/estado-de-mexico/rinde-protesta-como-presidente-de-almoloya-de-juarez-adolfo-solis/,"Rinde protesta como presidente de Almoloya de Juárez, Adolfo Solís",edo
https://8columnas.com.mx/estado-de-mexico/se-mantiene-en-edomex-tendencia-a-la-baja-en-homicidio-doloso/,Se mantiene en Edoméx tendencia a la baja en homicidio doloso,edo
https://8columnas.com.mx/internacional/petro-vendera-residencia-embajador-mexico-mejorar-servicios-consulares/,Petro venderá la residencia del embajador en México para mejorar servicios consulares,edo
https://8columnas.com.mx/internacional/tiktok-enfrenta-investigacion-de-la-ue-por-presunta-interferencia-en-elecciones-presidenciales-de-rumania/,TikTok enfrenta investigación de la UE por presunta interferencia en elecciones presidenciales de Rumanía,edo
https://8columnas.com.mx/local/capturan-a-una-mujer-por-violencia-familiar-en-toluca/,Capturan a una mujer por violencia familiar en Toluca,edo
https://8columnas.com.mx/estado-de-mexico/impulsa-nazario-gutierrez-martinez-transporte-rosa-para-mujeres-en-el-estado-de-mexico/,Impulsa Nazario Gutiérrez Martínez «transporte rosa» para mujeres en el Estado de México,edo
https://8columnas.com.mx/estado-de-mexico/obtiene-codhem-segunda-amnistia-del-2024-para-una-mujer-en-neza/,Obtiene CODHEM segunda Amnistía del 2024 para una mujer en Neza,edo
https://8columnas.com.mx/deportes/seleccion-femenil-de-futbol-de-uaemex-inspira-a-mujeres-universitarias/,Selección femenil de fútbol de UAEMéx inspira a mujeres universitarias,edo
https://8columnas.com.mx/estado-de-mexico/derivado-del-pasado-proceso-electoral-676-mujeres-estaran-en-puestos-de-decision/,"Derivado del pasado Proceso Electoral, 676 mujeres estarán en puestos de decisión",edo
https://8columnas.com.mx/estado-de-mexico/uaemex-y-secretaria-de-las-mujeres-colaboran-para-impulsar-la-equidad-de-genero/,UAEMéx y Secretaría de las Mujeres colaboran para impulsar la equidad de género,edo
https://8columnas.com.mx/estado-de-mexico/inmujeres-y-gem-firman-cuatro-compromisos-por-la-igualdad-y-el-bienestar/,INMUJERES y GEM firman cuatro compromisos por la Igualdad y el Bienestar,edo
https://8columnas.com.mx/estado-de-mexico/se-registran-mas-de-150-a-la-red-de-mujeres-electas/,Se registran más de 150 a la Red de Mujeres Electas,edo
https://8columnas.com.mx/local/encuentran-a-mujer-asesinada-en-parque-industrial-dona-rosa/,Encuentran a mujer asesinada en parque industrial Doña Rosa,edo
