title,link,keyword,state
Le formulan imputación por feminicidio en Parajes de Oriente,https://laopcion.com.mx/juarez/le-formulan-imputacion-por-feminicidio-en-parajes-de-oriente-20240423-461430.html,feminicidio,chih
Aprehenden a presunto responsable de tentativa de feminicidio ...,https://laopcion.com.mx/policial/aprehenden-a-presunto-responsable-de-tentativa-de-feminicidio-violacion-y-violencia-familiar-en-bocoyna-20230810-435603.html,feminicidio,chih
"Vinculan a taxista de Lidia Gabriela, pero no por feminicidio",https://laopcion.com.mx/nacional/vinculan-a-taxista-de-lidia-gabriela-pero-no-por-feminicidio-20221112-407768.html,feminicidio,chih
Lo sentencian a 41 años de cárcel por feminicidio,https://laopcion.com.mx/juarez/lo-sentencian-a-41-anos-de-carcel-por-feminicidio-20241106-477084.html,feminicidio,chih
Lo declaran culpable de feminicidio y tentativa de homicidio,https://laopcion.com.mx/juarez/lo-declaran-culpable-de-feminicidio-y-tentativa-de-homicidio-20230404-422648.html,feminicidio,chih
No debemos limitarnos a exigir que tapen el pozo cada vez que se ...,https://laopcion.com.mx/local/no-debemos-limitarnos-a-exigir-que-tapen-el-pozo-cada-vez-que-se-ahoga-una-nina-dora-villalobos-20140311-31036.html,feminicidio,chih
Atiende Unidad de Víctimas Directas de Feminicidio a 8 mil 73 ...,https://laopcion.com.mx/local/atiende-unidad-de-victimas-directas-de-feminicidio-a-8-mil-73-mujeres-20240202-453823.html,feminicidio,chih
Enfrentará proceso penal por intento de feminicidio,https://laopcion.com.mx/juarez/enfrentara-proceso-penal-por-intento-de-feminicidio-20231214-449611.html,feminicidio,chih
Responde Lilly Téllez a Jesusa que el primer feminicidio ocurre con ...,https://laopcion.com.mx/nacional/responde-lilly-tellez-a-jesusa-que-el-primer-feminicidio-ocurre-con-el-aborto-20200225-262942.html,feminicidio,chih
Lo sentencian a más de 18 años en prisión por feminicidio y secuestro,https://www.laopcion.com.mx/local/lo-sentencian-a-mas-de-18-anos-en-prision-por-feminicidio-y-secuestro-20240322-458446.html,feminicidio,chih
Avalan cárcel a quien filtre imágenes de víctimas de feminicidios,https://laopcion.com.mx/nacional/avalan-carcel-a-quien-filtre-imagenes-de-victimas-de-feminicidios-ley-ingrid-20230912-439616.html,feminicidio,chih
Presentan acusación por feminicidio vs 3 que levantaron y ...,https://laopcion.com.mx/juarez/presentan-acusacion-por-feminicidio-vs-3-que-levantaron-y-asesinaron-mujer-20240415-460694.html,feminicidio,chih
Colocan pino del feminicidio en la calle victoria,https://laopcion.com.mx/amp/local/colocan-pino-del-feminicidio-en-la-calle-victoria-20191224-256848.html,feminicidio,chih
Quema a su novia; juez rechaza acusarlo de intento de feminicidio,https://laopcion.com.mx/nacional/quema-a-su-novia-juez-rechaza-acusarlo-de-intento-de-feminicidio-20230422-424750.html,feminicidio,chih
Caen dos por feminicidio | La Opción de Chihuahua,https://laopcion.com.mx/juarez/caen-dos-por-feminicidio-20221108-407331.html,feminicidio,chih
Protestan mujeres contra la violencia y feminicidios,https://laopcion.com.mx/local/protestan-mujeres-contra-la-violencia-y-feminicidios-20221203-410099.html,feminicidio,chih
Identifican a víctima de feminicidio en Guerrero,https://laopcion.com.mx/policial/identifican-a-victima-de-feminicidio-en-guerrero-20230915-439956.html,feminicidio,chih
Lo declaran culpable del feminicidio de una psicóloga,https://laopcion.com.mx/juarez/lo-declaran-culpable-del-feminicidio-de-una-psicologa-20230228-418745.html,feminicidio,chih
Protestan mujeres contra la violencia y feminicidios,https://laopcion.com.mx/local/protestan-mujeres-contra-la-violencia-y-feminicidios-20221203-410099.html,feminicidio,chih
Identifican a víctima de feminicidio en Guerrero,https://laopcion.com.mx/policial/identifican-a-victima-de-feminicidio-en-guerrero-20230915-439956.html,feminicidio,chih
Lo acusan de cometer feminicidio en el 2022,https://laopcion.com.mx/juarez/lo-acusan-de-cometer-feminicidio-en-el-2022-20241106-477094.html,feminicidio,chih
